taxonomic_name,common_name,cultivation,sunlight,water,preferred_ph_lower,preferred_ph_upper,nutrients,soil,season,temperature_class,temperature_germination,temperature_growing,days_germination,days_harvest,nutritional_info,energy,sensitivities,description,requirements,days_harvest_min,days_harvest_max,days_harvest_avg,days_germ_min,days_germ_max,days_germ_avg,temp_germ_min,temp_germ_max,temp_germ_avg,temp_grow_min,temp_grow_max,temp_grow_avg
brassica rapa (chinensis group),bok choy,brassica,full sun,high,6.5,7,low,loamy,NA,tender,13-24,10-24,6-10,45-60,NA,NA,NA,the stalks are crisp and the leaves are smooth and tender with a flavour somewhere between cabbage and chard. it can be used raw or cooked.,"bok choy can handle full sun, but it grows best in partial shade. it needs about 3 - 5 hours of sun each day and can be harvested in 45 - 60 days. it tolerates light frost, but exposure to cold temperatures in spring can trigger early bolting.",45,60,52.5,6,10,8,13,24,18.5,10,24,17
brassica oleracea,cabbage (autumn red),brassica,full sun,high,6,7.5,high,sand/loam/clay,biennial,hardy,26,7-30,4,60-110,NA,NA,NA,"also known as headed cabbage, grown for it's tightly packed leaves. there are many difference varieties that also vary in flavour. can be eaten raw or cooked.",cabbage is a cool-season crop best planted in early spring or mid to late summer. they need a sunny site and firm soil. with a little planning it is possible to pick them fresh nearly every day of the year.,60,110,85,4,4,4,26,26,26,7,30,18.5
brassica oleracea,cabbage (autumn),brassica,full sun,high,6,7.5,high,sand/loam/clay,biennial,hardy,26,7-30,4,60-110,NA,NA,NA,"also known as headed cabbage, grown for it's tightly packed leaves. there are many difference varieties that also vary in flavour. can be eaten raw or cooked.",cabbage is a cool-season crop best planted in early spring or mid to late summer. they need a sunny site and firm soil. with a little planning it is possible to pick them fresh nearly every day of the year.,60,110,85,4,4,4,26,26,26,7,30,18.5
brassica rapa (chinensis group),cabbage (chinese),brassica,full sun,high,6,7.5,high,loamy,NA,tender,13-24,10-24,6-10,45-60,NA,NA,NA,also know as napa cabbage and is a close relation to pak choi. this plant has crinkly pal green leaves that grown in a tight oval shaped head. can be eaten raw or cooked.,"chinese cabbage can handle full sun, but it grows best in partial shade. it needs about 3 - 5 hours of sun each day and can be harvested in 45 - 60 days. it tolerates light frost, but exposure to cold temperatures in spring can trigger early bolting.",45,60,52.5,6,10,8,13,24,18.5,10,24,17
brassica oleracea,cabbage (spring red),brassica,full sun,high,6,7.5,high,sand/loam/clay,biennial,hardy,26,7-30,4,60-110,NA,NA,NA,"also known as headed cabbage, grown for it's tightly packed leaves. there are many difference varieties that also vary in flavour. can be eaten raw or cooked.",cabbage is a cool-season crop best planted in early spring or mid to late summer. they need a sunny site and firm soil. with a little planning it is possible to pick them fresh nearly every day of the year.,60,110,85,4,4,4,26,26,26,7,30,18.5
brassica oleracea,cabbage (summer red),brassica,full sun,high,6,7.5,high,sand/loam/clay,biennial,hardy,26,7-30,4,60-110,NA,NA,NA,"also known as headed cabbage, grown for it's tightly packed leaves. there are many difference varieties that also vary in flavour. can be eaten raw or cooked.",cabbage is a cool-season crop best planted in early spring or mid to late summer. they need a sunny site and firm soil. with a little planning it is possible to pick them fresh nearly every day of the year.,60,110,85,4,4,4,26,26,26,7,30,18.5
brassica oleracea,cabbage (summer),brassica,full sun,high,6,7.5,high,sand/loam/clay,biennial,hardy,26,7-30,4,60-110,NA,NA,NA,"also known as headed cabbage, grown for it's tightly packed leaves. there are many difference varieties that also vary in flavour. can be eaten raw or cooked.",cabbage is a cool-season crop best planted in early spring or mid to late summer. they need a sunny site and firm soil. with a little planning it is possible to pick them fresh nearly every day of the year.,60,110,85,4,4,4,26,26,26,7,30,18.5
brassica oleracea,calabrese,brassica,partial shade,medium,6,7,high,loamy and sandy,NA,tender,24,7-30,7,55-85,NA,NA,NA,"often described as broccoli, calabrese has one large head, but does produce smaller ones after the main head is harvested.",this cool-season crop grows best when daytime temperatures are in the high teens °c .,55,85,70,7,7,7,24,24,24,7,30,18.5
daucus carota,carrot,umbelliferae,full sun/partial shade,high,5.5,7,low,loamy and sandy,biennial,hardy,26,7-30,4,60-80,NA,NA,NA,"the swollen taproot of this fast growing plant can be eaten raw or cooked. normally orange, but varieties range from white to black.","best grown in light, fertile soil in a sunny position. heavy or stony soils can cause stunted or forked carrots. they like hot weather and are drought resistant, seldom needing water. however if foliage starts wilt, give a thorough soaking of water.",60,80,70,4,4,4,26,26,26,7,30,18.5
apium graveolens (var. rapaceum),celeriac,umbelliferae,full sun,high,5.5,6.5,medium,not specified,NA,hardy,21-24,15-18,11,90-120,NA,NA,NA,"also called turnip-rooted celery. the whole plant can eaten. however, it is usually grown for its knobbly, odd-shaped root, which has a celery-like flavour. it can be eaten raw or cooked.","celeriac is hardier and more disease resistant than its relative celery. it is a moisture-loving plant that needs fertile, organic rich, moisture retentive soil. keep the soil constantly moist – it should never be allowed to dry out.",90,120,105,11,11,11,21,24,22.5,15,18,16.5
capsicum annuum (longum group),chilli pepper,solanaceae,full sun,medium,7,8.5,high,loamy and sandy,NA,tender,30,17-,10,60-90,NA,NA,NA,"the fruit, the chilli peppers, vary wildly in size, shape and colour, they are green to start with and ripen to a rich red but they can also be orange, yellow, purple or brown. chillies are used to add heat to dishes and can be eaten cooked or raw.","chilli plants love heat, and require 30°c or more for the fruit to ripen with night temperatures not general dropping below 15°c. they grow best in rich and free draining soil, but will grow in any reasonably fertile soil.",60,90,75,10,10,10,30,30,30,17,17,17
allium schoenoprasum,chives,allium,full sun/partial shade/full shade,medium,6,7.5,low,"sandy, clay and peat-rich soil",NA,hardy,21,4-30,10,continual,NA,NA,NA,"a member of the onion family. chives take up very little space. the bulbs can be eaten as mild onions, the leaves are great in salads and as flavouring, and the flower heads add a splash of colour to any dish.","chives are perennial plants that do best in moisture retentive, well-drained soil. they prefer well-dug soil with the addition of well-rotted compost or organic material. however, they will grow in almost any soil and are fairly tolerant of drought.",NA,NA,NA,10,10,10,21,21,21,4,30,17
lepidium sativum,cress,miscellaneous,full sun/partial shade/full shade,medium,6,7,low,not specified,NA,tender,10-18,10-18,5,7-11,NA,NA,NA,"you can use entire seedlings for micro greens. however, when allowed to grow on to produce mature leaves, they can be used raw in salads.","cress is a cool season annual. it grows well in loose soil with a sunny location and. cress prefers a consistently moist soil, and thrives in hydroponics.",7,11,9,5,5,5,10,18,14,10,18,14
cichorium endivia,endive,miscellaneous,full sun/partial shade,medium,6,7,low,not specified,NA,half hardy,21,10-25,6,70-85,"rich in many vitamins and minerals, especially in folate and vitamins a and k and is high in fibre. it is used in salads, soups and sautéed",0,NA,a salad green similar to lettuce but stronger in flavour. it is commonly blanched before harvesting to give it a paler appearance and a milder flavour. it grows from a large rosette of light-green leaves in the centre that become dark towards outer edges.,"endive is a cool-season biennial grown as annuals. they prefer soils that are light, rich and free draining, but any soil can be used as long as it is not waterlogged. extender periods of temperatures less than 5°c or dry soil can cause ‘bolting’",70,85,77.5,6,6,6,21,21,21,10,25,17.5
foeniculum vulgare,fennel,umbelliferae,full sun,medium,6,7,high,not specified,NA,hardy,21,15-30,7,80-,NA,NA,NA,"the whole plant is used for it’s aromatic, slightly sweet, and slightly spicy anise flavour. the swollen leaf bases, the crispy stems and the delicate fonds for are used garnish. the blossoms are also highly prized for their pollen.","fennel can be grown either as an annual for its swollen leaf bases or ‘bulbs’ and edible leaves. or as an perennial herb for its leaves and seeds. once established it is a drought tolerant and prefers a sunny spot in light, free-draining soil.",80,80,80,7,7,7,21,21,21,15,30,22.5
allium sativum,garlic,allium,full sun/partial shade,medium,5.5,7.5,low,loamy,NA,very hardy,NA,NA,NA,70-,NA,NA,NA,the bulb of the garlic plant has a very strong flavour. it is usually used cooked in small quantities as a flavouring.,"garlic is best planted between november and april and prefers a position in full sun with a well drained, light soil.",70,70,70,NA,NA,NA,NA,NA,NA,NA,NA,NA
zingiber officinale,ginger,miscellaneous,partial shade,high,5,6,medium,not specified,NA,tender,NA,NA,NA,240-,NA,NA,NA,"this flowering plant is a herbaceous perennial grown for the rhizome, or root, which has a hot and fragrant flavour. it has many uses from flavouring dishes to made into candy.","in warm climates it can be grown outdoors, chooses deep, enriched, sandy loam soil with part-day shade. in cooler climates, grow ginger in containers placed in sun, and move to partial shade during summer heat waves.",240,240,240,NA,NA,NA,NA,NA,NA,NA,NA,NA
brassica oleracea (gongylodes group),kohlrabi,brassica,full sun/partial shade,medium,6,7.5,medium,not specified,NA,very hardy,26,NA,4,70-80,NA,NA,NA,"also know and the ""turnip cabbage"", the swollen stem has a sweet flavour and crunchy texture.","this odd looking brassica it is more drought resistant than most brassicas, and succeeds where swedes and turnips fail. it does not need a deep soil, as it is the stem that grows into a bulb. provide soil that is free-draining but moisture retentive.",70,80,75,4,4,4,26,26,26,NA,NA,NA
allium ampeloprasum,leek,allium,full sun/partial shade,medium,6.5,7.5,medium,not specified,NA,very hardy,21,NA,7,85-150,NA,NA,NA,"a member of the onion family that produces a long cylinder of leaves. often blanched by placing soil round the stems as they grow, to keep the lower part of the leaves white.","leeks are very hardy vegetables that grow best on a moist, light soil that’s had plenty of organic matter added to it. grow leeks in a sunny, open position in well-dug soil.",85,150,117.5,7,7,7,21,21,21,NA,NA,NA
valerianella locusta,lettuce (lambs/corn salad),miscellaneous,full sun,high,6,7,medium,loamy,NA,tender,13,4-27,7,30-60,NA,NA,NA,"a small annual plant who’s leaves are eaten raw as salad greens. it has a characteristic nutty flavour, dark green colour, and a soft texture.","corn salad grows best on fertilizer remaining in the bed after summer crops have been harvested, but will grow vigorously in almost any soil. it is a hardy survivor and will be bountiful in the early spring.",30,60,45,7,7,7,13,13,13,4,27,15.5
lactuca sativa,lettuce (loose leaf),miscellaneous,partial shade,high,6,7,medium,loamy,NA,tender,24,4-27,NA,60-,NA,NA,NA,the crisp leaves of lettuce are used in salads. there is no tight head in these varieties and for this reason are more perishable.,"grow lettuces in full sun on moisture-retentive soil, by choosing the right varieties and you can have lettuce almost all year round. high soil temperatures in summer can prevent some cultivars from germinating.",60,60,60,NA,NA,NA,24,24,24,4,27,15.5
claytonia perfoliata,winter purslane (miners lettuce),miscellaneous,full sun/partial shade,high,6,7,medium,not specified,NA,very hardy,10,4-27,NA,60-,NA,NA,NA,these succulent and juicy leaves are on of the hardiest salad leaves and can be grown all year round.,"plants do best in a slightly shaded position, protected from harsh hot weather. keep soil moist during dry periods, and can tolerate frost. this plant is a prolific self seeder, and can tolerate low fertility.",60,60,60,NA,NA,NA,10,10,10,4,27,15.5
pisum sativum (var. macrocarpon),mangetout,legume,full sun/partial shade,medium,6,7,medium,loamy,NA,half hardy,11,4-24,6,50-170,NA,NA,NA,a flat podded variety of pea eaten whole while the peas within are still small.,require a sunny position with well drained rich soil. provide something for plants to climb up.,50,170,110,6,6,6,11,11,11,4,24,14
cucurbita pepo,marrow,cucurbit,full sun,medium,6,7.5,high,not specified,NA,tender,21,NA,7,85-90,NA,NA,NA,the mature fruit of the courgette.,"easy to grow and will crop prolifically. they require the soil to be constantly moist, but water round the plant not over them.",85,90,87.5,7,7,7,21,21,21,NA,NA,NA
brassica juncea (var. japonica),mizuna,brassica,full sun/partial shade,high,6.5,7,high,not specified,NA,hardy,NA,NA,NA,21-50,NA,NA,NA,a finely desiccated leaf with a peppery flavour. used in salads or stir-frys.,"prefer to be grown on rich, loamy soils with high water retention. grow in and open sunny position with some shade as this plant dislikes extreme heat.",21,50,35.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
brassicaceae sinapis alba,mustard,brassica,full sun/partial shade,medium,6,7.5,medium,not specified,NA,hardy,NA,NA,NA,30-50,NA,NA,NA,"grown for the round hard seeds, but the leaves can also be eaten prior to flowering. in warm weather the taste is stronger.","easy to grow as not only do these thrive in cool weather, but they are also heat tolerant. can also be grown as a green manure in in late summer.",30,50,40,NA,NA,NA,NA,NA,NA,NA,NA,NA
abelmoschus esculentus,okra,miscellaneous,full sun,high,6,7.5,medium,loamy,NA,tender,35,NA,6,50-60,NA,NA,NA,"a tapering seed pod which produces a sticky, viscous liquid when cooked which thickens soups and sauces. widely used in indian and caribbean dishes, or whole as a side dish.","okra likes well drained soil warm weather and full sun, seed pods are best picked a week after pollination while still tender. soak seeds overnight before planting.",50,60,55,6,6,6,35,35,35,NA,NA,NA
allium cepa,onion,allium,full sun/partial shade,medium,6,7,medium,"loamy, clay and sandy",NA,hardy,24,10-35,6,90-130,NA,NA,NA,onion is a multi layered bulb which has a sharp pungent flavour. used raw in salad or cooked to add flavour to dishes.,"onions can be grown from either seed or a set (small bulb). they are easy to grow and can be planted in the spring, or autumn in most soil types.",90,130,110,6,6,6,24,24,24,10,35,22.5
allium cepa,onion (autumn planted),allium,full sun/partial shade,medium,6,7,medium,"loamy, clay and sandy",NA,hardy,24,NA,6,90-130,NA,NA,NA,onion is a multi layered bulb which has a sharp pungent flavour. used raw in salad or cooked to add flavour to dishes.,"onions can be grown from either seed or a set (small bulb). they are easy to grow and can be planted in the spring, or autumn in most soil types.",90,130,110,6,6,6,24,24,24,NA,NA,NA
allium fistulosum,onions (perennial),allium,full sun/partial shade,medium,6,7,low,loamy and sandy,NA,very hardy,24,NA,6,60 -,NA,NA,NA,"these plants don’t develop bulbs, but have hollow leaves with the distinctive taste of onion. seeds can also be used as sprouts.","easy to grow, and only require watering when dry, and feed occasionally. will grow in most climates.",60,60,60,6,6,6,24,24,24,NA,NA,NA
allium cepa,onions (red),allium,full sun/partial shade,medium,6,7,medium,"loamy, clay and sandy",NA,very hardy,24,NA,6,90-130,NA,NA,NA,onion is a multi layered bulb which has a sharp pungent flavour. used raw in salad or cooked to add flavour to dishes.,"onions can be grown from either seed or a set (small bulb). they are easy to grow and can be planted in the spring, or autumn in most soil types.",90,130,110,6,6,6,24,24,24,NA,NA,NA
pastinaca sativa,parsnip,umbelliferae,full sun/partial shade,medium,5.5,7.5,low,not specified,NA,half hardy,18,10-21,14,80-120,NA,NA,NA,"closely related to the carrot, and grown for it's swollen root. becomes sweeter after a frost.","will grow in most soils, but do best in light rich soils which are stone free.",80,120,100,14,14,14,18,18,18,10,21,15.5
capsicum annuum (grossum group),bell pepper,solanaceae,full sun/partial shade,medium,5.5,7,high,loamy and silty,NA,tender,30,17-35,8,60-80,NA,31,NA,"bell or sweet peppers come in many different colours, sizes and flavours. they are all categorized by their rating on the scoville scale - the standard for describing hotness. sweet peppers have a rating or 0 or 1 and placed in the grossum group.","sweet pepper grows as an annual in well drained soil, but be sure to maintain adequate moisture either with mulch or plastic covering. they are also heat sensitive (above 30ºc), so mulching during the summer months helps keep the soil temperature down.",60,80,70,8,8,8,30,30,30,17,35,26
solanum tuberosum,potatoes (early),solanaceae,full sun,medium,4.5,6,low,"well-drained, fertile and high in organic matter. loamy and clay",NA,tender,NA,7-26,NA,90-115,NA,NA,NA,"a versatile tuber which is high in starch and a staple ingredient in many meals. comes in many different varieties, with different cooking properties. some suited to frying, others to boiling.",plant once soil temperatures are above 7°c. potatoes are planted in ridges with the soil drawn up round the stems to protect the swelling tubers from sunlight.,90,115,102.5,NA,NA,NA,NA,NA,NA,7,26,16.5
solanum tuberosum,potatoes (main crop),solanaceae,full sun,medium,4.5,6,low,"well-drained, fertile and high in organic matter. loamy and clay",NA,tender,NA,7-26,NA,100-115,NA,NA,NA,"a versatile tuber which is high in starch and a staple ingredient in many meals. comes in many different varieties, with different cooking properties. some suited to frying, others to boiling.",plant once soil temperatures are above 7°c. potatoes are planted in ridges with the soil drawn up round the stems to protect the swelling tubers from sunlight.,100,115,107.5,NA,NA,NA,NA,NA,NA,7,26,16.5
portulaca oleracea,purslane,miscellaneous,full sun/partial shade,low,5.5,7,low,"loamy, sandy and silty",NA,hardy,32,NA,NA,40-100,NA,NA,NA,"purslane is an annual succulent that is eaten either fresh as a salad, or cooked similar to spinach. its flavour is slightly sour and salty.","purslane is a fast-growing annual with succulent leaves and stems, often considered a weed. will grow in any soil, and does best in warm weather with regular water.",40,100,70,NA,NA,NA,32,32,32,NA,NA,NA
chenopodium quinoa,quinoa,miscellaneous,full sun,low,6,7,low,"well-drained, fertile and loamy",NA,tender,18-24,15-20,4,90-120,NA,NA,NA,"mainly grown for it's seeds which are cooked like rice. the outer coating of the seed is bitter in taste and requires removing. quinoa is also gluten free, and high in protein.","quinoa is a cool season crop that requires full sun. described as disease-free and drought-tolerant, they thrive in rich and well drained soil. once established, they produce abundant harvests under dry conditions.",90,120,105,4,4,4,18,24,21,15,20,17.5
